category_id,category,category_order,subcategory_id,subcategory,subcategory_order
garage-door,Garage Door,12,garage-door__winding-bars-and-install-tools,Winding bars & install tools,11
hammers,Hammers,13,hammers__claw-and-framing,Claw & framing,1
hammers,Hammers,13,hammers__ball-peen-and-machinist,Ball-peen & machinist,2
hammers,Hammers,13,hammers__sledge-and-drilling,Sledge & drilling,3
hammers,Hammers,13,hammers__mallets,"Mallets (rubber, dead blow, wood, brass)",4
hammers,Hammers,13,hammers__masonry-and-brick,Masonry & brick,5
hammers,Hammers,13,hammers__body-and-fender,Body & fender (with dollies),6
hammers,Hammers,13,hammers__specialty,"Specialty (tack, drywall, roofing)",7
hammers,Hammers,13,hammers__handles-and-replacement-parts,Handles & replacement parts,8
ladders,Ladders,14,ladders__step-ladders,Step ladders,1
ladders,Ladders,14,ladders__extension-ladders,Extension ladders,2
ladders,Ladders,14,ladders__multi-position-and-articulating,Multi-position & articulating,3
ladders,Ladders,14,ladders__platform-and-podium,Platform & podium,4
ladders,Ladders,14,ladders__step-stools,Step stools,5
ladders,Ladders,14,ladders__attic-and-loft,Attic & loft,6
ladders,Ladders,14,ladders__scaffolding-and-work-platforms,Scaffolding & work platforms,7
ladders,Ladders,14,ladders__accessories,"Accessories (stabilizers, levelers, standoffs)",8
lawn-and-garden,Lawn & Garden,15,lawn-and-garden__mowers,Mowers,1
lawn-and-garden,Lawn & Garden,15,lawn-and-garden__trimmers-and-edgers,Trimmers & edgers,2
lawn-and-garden,Lawn & Garden,15,lawn-and-garden__pruning-and-cutting-tools,Pruning & cutting tools,3
lawn-and-garden,Lawn & Garden,15,lawn-and-garden__digging-and-soil-tools,Digging & soil tools,4
lawn-and-garden,Lawn & Garden,15,lawn-and-garden__tillers-and-cultivators,Tillers & cultivators,5
lawn-and-garden,Lawn & Garden,15,lawn-and-garden__watering-and-irrigation,Watering & irrigation,6
lawn-and-garden,Lawn & Garden,15,lawn-and-garden__spreaders-and-sprayers,Spreaders & sprayers,7
lawn-and-garden,Lawn & Garden,15,lawn-and-garden__leaf-blowers-and-rakes,Leaf blowers & rakes,8
lawn-and-garden,Lawn & Garden,15,lawn-and-garden__seeds-soil-and-amendments,"Seeds, soil & amendments",9
lawn-and-garden,Lawn & Garden,15,lawn-and-garden__weed-and-pest-control,Weed & pest control,10
lighting,Lighting,16,lighting__shop-and-ceiling-fixtures,Shop & ceiling fixtures,1
lighting,Lighting,16,lighting__work-and-task-lights,Work & task lights,2
lighting,Lighting,16,lighting__portable-and-rechargeable-lights,Portable & rechargeable lights,3
lighting,Lighting,16,lighting__headlamps-and-flashlights,Headlamps & flashlights,4
lighting,Lighting,16,lighting__inspection-and-underhood-lights,Inspection & underhood lights,5
lighting,Lighting,16,lighting__string-and-festoon-lighting,String & festoon lighting,6
lighting,Lighting,16,lighting__outdoor-and-landscape-lighting,Outdoor & landscape lighting,7
lighting,Lighting,16,lighting__security-and-motion-lighting,Security & motion lighting,8
lighting,Lighting,16,lighting__emergency-and-exit-lighting,Emergency & exit lighting,9
lighting,Lighting,16,lighting__bulbs-and-lamps,Bulbs & lamps,10
lighting,Lighting,16,lighting__ballasts-drivers-and-dimmers,"Ballasts, drivers & dimmers",11
lighting,Lighting,16,lighting__light-stands-and-tripods,Light stands & tripods,12
livestock-and-pet,Livestock & Pet,17,livestock-and-pet__feeders-and-waterers,Feeders & waterers,1
livestock-and-pet,Livestock & Pet,17,livestock-and-pet__fencing-and-containment,Fencing & containment,2
livestock-and-pet,Livestock & Pet,17,livestock-and-pet__grooming-and-clipping,Grooming & clipping,3
livestock-and-pet,Livestock & Pet,17,livestock-and-pet__health-vet-and-first-aid,"Health, vet & first aid",4
livestock-and-pet,Livestock & Pet,17,livestock-and-pet__handling-and-restraint,Handling & restraint,5
livestock-and-pet,Livestock & Pet,17,livestock-and-pet__housing-bedding-and-kennels,"Housing, bedding & kennels",6
livestock-and-pet,Livestock & Pet,17,livestock-and-pet__waste-management,Waste management,7
livestock-and-pet,Livestock & Pet,17,livestock-and-pet__leashes-collars-and-training,"Leashes, collars & training",8
livestock-and-pet,Livestock & Pet,17,livestock-and-pet__feed-and-bedding-storage,Feed & bedding storage,9
machining,Machining,18,machining__lathes,Lathes,1
machining,Machining,18,machining__milling-machines,Milling machines,2
machining,Machining,18,machining__drill-presses,Drill presses,3
machining,Machining,18,machining__metal-cutting-machines,"Metal cutting machines (bandsaw, cold saw)",4
machining,Machining,18,machining__surface-and-tool-grinding,Surface & tool grinding,5
machining,Machining,18,machining__workholding,"Workholding (vises, chucks, collets, fixtures)",6
machining,Machining,18,machining__threading,"Threading (taps, dies, thread repair)",7
machining,Machining,18,machining__layout-and-marking,"Layout & marking (surface plates, scribes, height gauges)",8
machining,Machining,18,machining__cnc-controls-and-tooling,CNC controls & tooling,9
material-handling,Material Handling,19,material-handling__hand-trucks-and-dollies,Hand trucks & dollies,1
material-handling,Material Handling,19,material-handling__carts-and-platform-trucks,Carts & platform trucks,2
material-handling,Material Handling,19,material-handling__engine-hoists-and-shop-cranes,Engine hoists & shop cranes,3
material-handling,Material Handling,19,material-handling__chain-hoists-and-lever-hoists,Chain hoists & lever hoists,4
material-handling,Material Handling,19,material-handling__winches-and-come-alongs,Winches & come-alongs,5
material-handling,Material Handling,19,material-handling__pallet-jacks-and-lift-tables,Pallet jacks & lift tables,6
material-handling,Material Handling,19,material-handling__pry-bars-and-rollers,Pry bars & rollers,7
material-handling,Material Handling,19,material-handling__casters-and-wheels,Casters & wheels,8
material-handling,Material Handling,19,material-handling__load-levelers-and-positioning-gear,Load levelers & positioning gear,9
material-handling,Material Handling,19,material-handling__pulleys-and-blocks,Pulleys & blocks,10
materials,Materials,20,materials__lumber-and-dimensional-wood,Lumber & dimensional wood,1
materials,Materials,20,materials__sheet-goods,"Sheet goods (plywood, MDF, OSB)",2
materials,Materials,20,materials__hardwood-and-specialty-wood,Hardwood & specialty wood,3
materials,Materials,20,materials__metal-bar-and-rod,Metal bar & rod,4
materials,Materials,20,materials__metal-tube-and-pipe-stock,Metal tube & pipe stock,5
materials,Materials,20,materials__metal-sheet-and-plate,Metal sheet & plate,6
materials,Materials,20,materials__plastics-and-acrylics,Plastics & acrylics,7
materials,Materials,20,materials__composites-and-foam,Composites & foam,8
materials,Materials,20,materials__rubber-and-gasket-stock,Rubber & gasket stock,9
materials,Materials,20,materials__glass-and-glazing,Glass & glazing,10
materials,Materials,20,materials__concrete-mortar-and-aggregate,"Concrete, mortar & aggregate",11
materials,Materials,20,materials__brick-block-and-stone,"Brick, block & stone",12
materials,Materials,20,materials__drywall-and-plaster,Drywall & plaster,13
materials,Materials,20,materials__roofing-and-siding,Roofing & siding,14
materials,Materials,20,materials__insulation-and-weatherproofing,Insulation & weatherproofing,15
materials,Materials,20,materials__flooring-and-underlayment,Flooring & underlayment,16
materials,Materials,20,materials__fencing-and-decking,Fencing & decking,17
measurement,Measurement,21,measurement__tape-measures-and-rules,Tape measures & rules,1
measurement,Measurement,21,measurement__squares-and-angle-finders,Squares & angle finders,2
measurement,Measurement,21,measurement__levels,"Levels (spirit, torpedo, laser)",3
measurement,Measurement,21,measurement__calipers-and-micrometers,Calipers & micrometers,4
measurement,Measurement,21,measurement__dial-indicators-and-gauge-blocks,Dial indicators & gauge blocks,5
measurement,Measurement,21,measurement__marking-and-scribing-tools,Marking & scribing tools,6
measurement,Measurement,21,measurement__chalk-lines-and-layout-lasers,Chalk lines & layout lasers,7
measurement,Measurement,21,measurement__multimeters-and-electrical-testers,Multimeters & electrical testers,8
measurement,Measurement,21,measurement__oscilloscopes-and-signal-tools,Oscilloscopes & signal tools,9
measurement,Measurement,21,measurement__temperature-pressure-and-moisture-meters,"Temperature, pressure & moisture meters",10
measurement,Measurement,21,measurement__scales-and-balances,Scales & balances,11
measurement,Measurement,21,measurement__stud-and-cable-finders,Stud & cable finders,12
outdoor-living,Outdoor Living,22,outdoor-living__grills-and-smokers,Grills & smokers,1
outdoor-living,Outdoor Living,22,outdoor-living__fire-pits-and-patio-heaters,Fire pits & patio heaters,2
outdoor-living,Outdoor Living,22,outdoor-living__patio-furniture-and-care,Patio furniture & care,3
outdoor-living,Outdoor Living,22,outdoor-living__awnings-canopies-and-shade,"Awnings, canopies & shade",4
outdoor-living,Outdoor Living,22,outdoor-living__pool-and-spa-maintenance,Pool & spa maintenance,5
outdoor-living,Outdoor Living,22,outdoor-living__deck-and-fence-maintenance,Deck & fence maintenance,6
outdoor-living,Outdoor Living,22,outdoor-living__snow-and-ice-removal,Snow & ice removal,7
paint-and-finishing,Paint & Finishing,23,paint-and-finishing__paints-stains-and-clear-coats,"Paints, stains & clear coats",1
paint-and-finishing,Paint & Finishing,23,paint-and-finishing__brushes-and-rollers,Brushes & rollers,2
paint-and-finishing,Paint & Finishing,23,paint-and-finishing__spray-guns,"Spray guns (HVLP, conventional)",3
paint-and-finishing,Paint & Finishing,23,paint-and-finishing__airless-and-airbrush-systems,Airless & airbrush systems,4
paint-and-finishing,Paint & Finishing,23,paint-and-finishing__surface-prep-and-strippers,Surface prep & strippers,5
paint-and-finishing,Paint & Finishing,23,paint-and-finishing__masking-and-drop-cloths,Masking & drop cloths,6
paint-and-finishing,Paint & Finishing,23,paint-and-finishing__mixing-straining-and-storage,"Mixing, straining & storage",7
paint-and-finishing,Paint & Finishing,23,paint-and-finishing__spray-booths-and-ventilation,Spray booths & ventilation,8
paint-and-finishing,Paint & Finishing,23,paint-and-finishing__curing-lamps-and-drying-racks,Curing lamps & drying racks,9
paint-and-finishing,Paint & Finishing,23,paint-and-finishing__buffing-and-polishing,Buffing & polishing,10
pliers,Pliers,24,pliers-and-clamps__slip-joint-and-tongue-and-groove,Slip-joint & tongue-and-groove,1
pliers,Pliers,24,pliers-and-clamps__needle-nose-and-long-reach,Needle-nose & long-reach,2
pliers,Pliers,24,pliers-and-clamps__lineman-s-and-combination,Lineman's & combination,3
pliers,Pliers,24,pliers-and-clamps__locking-pliers,Locking pliers,4
pliers,Pliers,24,pliers-and-clamps__diagonal-and-end-cutters,Diagonal & end cutters,5
pliers,Pliers,24,pliers-and-clamps__snap-ring-and-specialty-pliers,Snap ring & specialty pliers,6
pliers,Pliers,24,pliers-and-clamps__tin-snips-and-aviation-snips,Tin snips & aviation snips,7
pliers,Pliers,24,pliers-and-clamps__bolt-cutters,Bolt cutters,8
pliers,Pliers,24,pliers-and-clamps__cable-and-wire-rope-cutters,Cable & wire rope cutters,9
plumbing,Plumbing,25,plumbing__pipe-cutters-and-threaders,Pipe cutters & threaders,1
plumbing,Plumbing,25,plumbing__tubing-benders-and-flaring-tools,Tubing benders & flaring tools,2
plumbing,Plumbing,25,plumbing__pex-and-press-tools,PEX & press tools,3
plumbing,Plumbing,25,plumbing__drain-augers-and-snakes,Drain augers & snakes,4
plumbing,Plumbing,25,plumbing__sweat-and-soldering-tools,Sweat & soldering tools,5
plumbing,Plumbing,25,plumbing__pipe-wrenches-and-grips,Pipe wrenches & grips,6
plumbing,Plumbing,25,plumbing__pipe-fittings-and-valves,"Pipe, fittings & valves",7
plumbing,Plumbing,25,plumbing__fixtures-and-supply-lines,Fixtures & supply lines,8
plumbing,Plumbing,25,plumbing__pumps-and-water-treatment,Pumps & water treatment,9
plumbing,Plumbing,25,plumbing__thread-sealant-and-tape,Thread sealant & tape,10
power-tools,Power Tools,26,power-tools__drills-and-impact-drivers,Drills & impact drivers,1
power-tools,Power Tools,26,power-tools__hammer-drills-and-rotary-hammers,Hammer drills & rotary hammers,2
power-tools,Power Tools,26,power-tools__circular-and-track-saws,Circular & track saws,3
power-tools,Power Tools,26,power-tools__miter-and-table-saws,Miter & table saws,4
power-tools,Power Tools,26,power-tools__reciprocating-jig-and-band-saws,"Reciprocating, jig & band saws",5
power-tools,Power Tools,26,power-tools__grinders,Grinders,6
power-tools,Power Tools,26,power-tools__sanders,Sanders,7
power-tools,Power Tools,26,power-tools__routers-and-planers,Routers & planers,8
power-tools,Power Tools,26,power-tools__nailers-and-staplers,Nailers & staplers,9
power-tools,Power Tools,26,power-tools__rotary-and-oscillating-multi-tools,Rotary & oscillating multi-tools,10
power-tools,Power Tools,26,power-tools__pneumatic-tools,Pneumatic tools,11
power-tools,Power Tools,26,power-tools__generators-and-power-supply,Generators & power supply,12
power-tools,Power Tools,26,power-tools__heat-guns-and-torches,Heat guns & torches,13
power-tools,Power Tools,26,power-tools__batteries-chargers-and-cordless-platforms,"Batteries, chargers & cordless platforms",14
rope-and-cable,Rope & Cable,27,rope-and-cable__rope-and-cordage,Rope & cordage,1
rope-and-cable,Rope & Cable,27,rope-and-cable__chain-and-chain-hardware,Chain & chain hardware,2
rope-and-cable,Rope & Cable,27,rope-and-cable__wire-rope-and-cable,Wire rope & cable,3
rope-and-cable,Rope & Cable,27,rope-and-cable__webbing-straps-and-tie-downs,"Webbing, straps & tie-downs",4
rope-and-cable,Rope & Cable,27,rope-and-cable__bungee-and-elastic-cord,Bungee & elastic cord,5
rope-and-cable,Rope & Cable,27,rope-and-cable__rigging-hardware,"Rigging hardware (shackles, thimbles, clamps)",6
rope-and-cable,Rope & Cable,27,rope-and-cable__knot-splicing-and-swaging-tools,"Knot, splicing & swaging tools",7
rope-and-cable,Rope & Cable,27,rope-and-cable__cable-management-and-ties,Cable management & ties,8
safety-and-ppe,Safety & PPE,28,safety-and-ppe__eye-and-face-protection,Eye & face protection,1
safety-and-ppe,Safety & PPE,28,safety-and-ppe__hearing-protection,Hearing protection,2
safety-and-ppe,Safety & PPE,28,safety-and-ppe__respiratory-protection,Respiratory protection,3
safety-and-ppe,Safety & PPE,28,safety-and-ppe__hand-and-arm-protection,Hand & arm protection,4
safety-and-ppe,Safety & PPE,28,safety-and-ppe__head-and-foot-protection,Head & foot protection,5
safety-and-ppe,Safety & PPE,28,safety-and-ppe__protective-clothing-and-hi-vis,Protective clothing & hi-vis,6
safety-and-ppe,Safety & PPE,28,safety-and-ppe__fall-protection-and-harnesses,Fall protection & harnesses,7
safety-and-ppe,Safety & PPE,28,safety-and-ppe__welding-helmets-and-leathers,Welding helmets & leathers,8
safety-and-ppe,Safety & PPE,28,safety-and-ppe__fire-extinguishers-and-suppression,Fire extinguishers & suppression,9
safety-and-ppe,Safety & PPE,28,safety-and-ppe__first-aid-and-eyewash,First aid & eyewash,10
safety-and-ppe,Safety & PPE,28,safety-and-ppe__lockout-tagout,Lockout/tagout,11
safety-and-ppe,Safety & PPE,28,safety-and-ppe__signage-barriers-and-marking,"Signage, barriers & marking",12
safety-and-ppe,Safety & PPE,28,safety-and-ppe__gas-detection-and-monitors,Gas detection & monitors,13
safety-and-ppe,Safety & PPE,28,safety-and-ppe__spill-control-and-absorbents,Spill control & absorbents,14
saws-and-blades,Saws & Blades,29,saws-and-blades__hand-saws,"Hand saws (panel, rip, crosscut)",1
saws-and-blades,Saws & Blades,29,saws-and-blades__back-saws-and-joinery-saws,Back saws & joinery saws,2
saws-and-blades,Saws & Blades,29,saws-and-blades__coping-fret-and-hack-saws,"Coping, fret & hack saws",3
saws-and-blades,Saws & Blades,29,saws-and-blades__pruning-and-bow-saws,Pruning & bow saws,4
saws-and-blades,Saws & Blades,29,saws-and-blades__utility-knives-and-box-cutters,Utility knives & box cutters,5
saws-and-blades,Saws & Blades,29,saws-and-blades__hobby-craft-and-detail-knives,"Hobby, craft & detail knives",6
saws-and-blades,Saws & Blades,29,saws-and-blades__fixed-and-folding-shop-knives,Fixed & folding shop knives,7
saws-and-blades,Saws & Blades,29,saws-and-blades__circular-and-miter-saw-blades,Circular & miter saw blades,8
saws-and-blades,Saws & Blades,29,saws-and-blades__reciprocating-jig-and-band-saw-blades,"Reciprocating, jig & band saw blades",9
saws-and-blades,Saws & Blades,29,saws-and-blades__replacement-utility-and-hobby-blades,Replacement utility & hobby blades,10
saws-and-blades,Saws & Blades,29,saws-and-blades__drill-spade-and-hole-saw-bits,"Drill, spade & hole saw bits",11
saws-and-blades,Saws & Blades,29,saws-and-blades__router-planer-and-shaper-cutters,"Router, planer & shaper cutters",12
saws-and-blades,Saws & Blades,29,saws-and-blades__sharpening-and-blade-maintenance,Sharpening & blade maintenance,13
screwdrivers,Screwdrivers,30,screwdrivers__slotted-flat,Slotted / flat,1
screwdrivers,Screwdrivers,30,screwdrivers__phillips,Phillips,2
screwdrivers,Screwdrivers,30,screwdrivers__torx-and-security,Torx & security,3
screwdrivers,Screwdrivers,30,screwdrivers__hex-allen,Hex / Allen,4
screwdrivers,Screwdrivers,30,screwdrivers__square,Square (Robertson),5
screwdrivers,Screwdrivers,30,screwdrivers__precision-and-jeweler-s,Precision & jeweler's,6
screwdrivers,Screwdrivers,30,screwdrivers__insulated-electrician,Insulated / electrician,7
